model,group_id,metric,strategy,mean_rank,std_rank
resnet,bandpass__combo_LA_LL__covariance__s10,macro_f1,independent_rms,2.4,0.5477225575051661
resnet,bandpass__combo_LA_LL__covariance__s10,macro_f1,mixed,2.4,0.8944271909999159
resnet,bandpass__combo_LA_LL__covariance__s15,brier,clean_only,3.4,0.5477225575051661
resnet,bandpass__combo_LA_LL__covariance__s15,brier,electrode,1.4,0.5477225575051661
resnet,bandpass__combo_LA_LL__covariance__s15,brier,independent_rms,1.8,0.8366600265340756
resnet,bandpass__combo_LA_LL__covariance__s15,brier,mixed,3.4,0.8944271909999159
resnet,bandpass__combo_LA_LL__covariance__s15,ece,clean_only,2.6,1.51657508881031
resnet,bandpass__combo_LA_LL__covariance__s15,ece,electrode,1.8,1.0954451150103324
resnet,bandpass__combo_LA_LL__covariance__s15,ece,independent_rms,2.2,0.44721359549995787
resnet,bandpass__combo_LA_LL__covariance__s15,ece,mixed,3.4,0.8944271909999159
resnet,bandpass__combo_LA_LL__covariance__s15,macro_ap,clean_only,3.8,0.4472135954999579
resnet,bandpass__combo_LA_LL__covariance__s15,macro_ap,electrode,1.8,0.4472135954999579
resnet,bandpass__combo_LA_LL__covariance__s15,macro_ap,independent_rms,2.0,1.0
resnet,bandpass__combo_LA_LL__covariance__s15,macro_ap,mixed,2.4,1.3416407864998738
resnet,bandpass__combo_LA_LL__covariance__s15,macro_auroc,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__covariance__s15,macro_auroc,electrode,1.4,0.8944271909999159
resnet,bandpass__combo_LA_LL__covariance__s15,macro_auroc,independent_rms,2.4,0.5477225575051661
resnet,bandpass__combo_LA_LL__covariance__s15,macro_auroc,mixed,2.2,0.8366600265340756
resnet,bandpass__combo_LA_LL__covariance__s15,macro_f1,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__covariance__s15,macro_f1,electrode,1.6,0.8944271909999159
resnet,bandpass__combo_LA_LL__covariance__s15,macro_f1,independent_rms,2.2,0.44721359549995787
resnet,bandpass__combo_LA_LL__covariance__s15,macro_f1,mixed,2.2,1.0954451150103321
resnet,bandpass__combo_LA_LL__covariance__s20,brier,clean_only,3.4,0.5477225575051661
resnet,bandpass__combo_LA_LL__covariance__s20,brier,electrode,1.6,0.5477225575051661
resnet,bandpass__combo_LA_LL__covariance__s20,brier,independent_rms,1.4,0.5477225575051661
resnet,bandpass__combo_LA_LL__covariance__s20,brier,mixed,3.6,0.5477225575051661
resnet,bandpass__combo_LA_LL__covariance__s20,ece,clean_only,2.4,1.140175425099138
resnet,bandpass__combo_LA_LL__covariance__s20,ece,electrode,1.8,1.0954451150103324
resnet,bandpass__combo_LA_LL__covariance__s20,ece,independent_rms,2.0,0.7071067811865476
resnet,bandpass__combo_LA_LL__covariance__s20,ece,mixed,3.8,0.4472135954999579
resnet,bandpass__combo_LA_LL__covariance__s20,macro_ap,clean_only,3.6,0.5477225575051661
resnet,bandpass__combo_LA_LL__covariance__s20,macro_ap,electrode,2.0,0.0
resnet,bandpass__combo_LA_LL__covariance__s20,macro_ap,independent_rms,1.4,0.8944271909999159
resnet,bandpass__combo_LA_LL__covariance__s20,macro_ap,mixed,3.0,1.224744871391589
resnet,bandpass__combo_LA_LL__covariance__s20,macro_auroc,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__covariance__s20,macro_auroc,electrode,1.4,0.8944271909999159
resnet,bandpass__combo_LA_LL__covariance__s20,macro_auroc,independent_rms,2.4,0.5477225575051661
resnet,bandpass__combo_LA_LL__covariance__s20,macro_auroc,mixed,2.2,0.8366600265340756
resnet,bandpass__combo_LA_LL__covariance__s20,macro_f1,clean_only,3.6,0.8944271909999159
resnet,bandpass__combo_LA_LL__covariance__s20,macro_f1,electrode,1.6,0.8944271909999159
resnet,bandpass__combo_LA_LL__covariance__s20,macro_f1,independent_rms,2.4,0.8944271909999159
resnet,bandpass__combo_LA_LL__covariance__s20,macro_f1,mixed,2.4,1.140175425099138
resnet,bandpass__combo_LA_LL__covariance__s5,brier,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__covariance__s5,brier,electrode,1.4,0.8944271909999159
resnet,bandpass__combo_LA_LL__covariance__s5,brier,independent_rms,2.6,0.5477225575051661
resnet,bandpass__combo_LA_LL__covariance__s5,brier,mixed,2.0,0.7071067811865476
resnet,bandpass__combo_LA_LL__covariance__s5,ece,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__covariance__s5,ece,electrode,1.6,0.8944271909999159
resnet,bandpass__combo_LA_LL__covariance__s5,ece,independent_rms,2.6,0.5477225575051661
resnet,bandpass__combo_LA_LL__covariance__s5,ece,mixed,1.8,0.8366600265340756
resnet,bandpass__combo_LA_LL__covariance__s5,macro_ap,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__covariance__s5,macro_ap,electrode,1.4,0.5477225575051661
resnet,bandpass__combo_LA_LL__covariance__s5,macro_ap,independent_rms,2.8,0.4472135954999579
resnet,bandpass__combo_LA_LL__covariance__s5,macro_ap,mixed,1.8,0.8366600265340756
resnet,bandpass__combo_LA_LL__covariance__s5,macro_auroc,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__covariance__s5,macro_auroc,electrode,1.4,0.5477225575051661
resnet,bandpass__combo_LA_LL__covariance__s5,macro_auroc,independent_rms,2.8,0.4472135954999579
resnet,bandpass__combo_LA_LL__covariance__s5,macro_auroc,mixed,1.8,0.8366600265340756
resnet,bandpass__combo_LA_LL__covariance__s5,macro_f1,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__covariance__s5,macro_f1,electrode,1.4,0.5477225575051661
resnet,bandpass__combo_LA_LL__covariance__s5,macro_f1,independent_rms,2.8,0.4472135954999579
resnet,bandpass__combo_LA_LL__covariance__s5,macro_f1,mixed,1.8,0.8366600265340756
resnet,bandpass__combo_LA_LL__electrode__s0,brier,clean_only,3.6,0.8944271909999161
resnet,bandpass__combo_LA_LL__electrode__s0,brier,electrode,1.8,0.8366600265340756
resnet,bandpass__combo_LA_LL__electrode__s0,brier,independent_rms,3.0,0.7071067811865476
resnet,bandpass__combo_LA_LL__electrode__s0,brier,mixed,1.6,0.8944271909999159
resnet,bandpass__combo_LA_LL__electrode__s0,ece,clean_only,3.6,0.8944271909999161
resnet,bandpass__combo_LA_LL__electrode__s0,ece,electrode,1.8,0.8366600265340756
resnet,bandpass__combo_LA_LL__electrode__s0,ece,independent_rms,3.0,0.7071067811865476
resnet,bandpass__combo_LA_LL__electrode__s0,ece,mixed,1.6,0.8944271909999159
resnet,bandpass__combo_LA_LL__electrode__s0,macro_ap,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__electrode__s0,macro_ap,electrode,1.6,0.8944271909999159
resnet,bandpass__combo_LA_LL__electrode__s0,macro_ap,independent_rms,2.6,0.5477225575051661
resnet,bandpass__combo_LA_LL__electrode__s0,macro_ap,mixed,1.8,0.8366600265340756
resnet,bandpass__combo_LA_LL__electrode__s0,macro_auroc,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__electrode__s0,macro_auroc,electrode,1.6,0.5477225575051661
resnet,bandpass__combo_LA_LL__electrode__s0,macro_auroc,independent_rms,2.8,0.4472135954999579
resnet,bandpass__combo_LA_LL__electrode__s0,macro_auroc,mixed,1.6,0.8944271909999159
resnet,bandpass__combo_LA_LL__electrode__s0,macro_f1,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__electrode__s0,macro_f1,electrode,1.8,0.8366600265340756
resnet,bandpass__combo_LA_LL__electrode__s0,macro_f1,independent_rms,2.8,0.4472135954999579
resnet,bandpass__combo_LA_LL__electrode__s0,macro_f1,mixed,1.4,0.5477225575051661
resnet,bandpass__combo_LA_LL__electrode__s10,brier,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__electrode__s10,brier,electrode,1.4,0.8944271909999159
resnet,bandpass__combo_LA_LL__electrode__s10,brier,independent_rms,2.0,0.7071067811865476
resnet,bandpass__combo_LA_LL__electrode__s10,brier,mixed,2.6,0.5477225575051661
resnet,bandpass__combo_LA_LL__electrode__s10,ece,clean_only,3.4,0.8944271909999159
resnet,bandpass__combo_LA_LL__electrode__s10,ece,electrode,1.6,0.8944271909999159
resnet,bandpass__combo_LA_LL__electrode__s10,ece,independent_rms,1.8,0.8366600265340756
resnet,bandpass__combo_LA_LL__electrode__s10,ece,mixed,3.2,0.8366600265340756
resnet,bandpass__combo_LA_LL__electrode__s10,macro_ap,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__electrode__s10,macro_ap,electrode,1.4,0.8944271909999159
resnet,bandpass__combo_LA_LL__electrode__s10,macro_ap,independent_rms,2.4,0.5477225575051661
resnet,bandpass__combo_LA_LL__electrode__s10,macro_ap,mixed,2.2,0.8366600265340756
resnet,bandpass__combo_LA_LL__electrode__s10,macro_auroc,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__electrode__s10,macro_auroc,electrode,1.0,0.0
resnet,bandpass__combo_LA_LL__electrode__s10,macro_auroc,independent_rms,2.8,0.44721359549995787
resnet,bandpass__combo_LA_LL__electrode__s10,macro_auroc,mixed,2.2,0.44721359549995787
resnet,bandpass__combo_LA_LL__electrode__s10,macro_f1,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__electrode__s10,macro_f1,electrode,1.2,0.44721359549995804
resnet,bandpass__combo_LA_LL__electrode__s10,macro_f1,independent_rms,2.6,0.5477225575051661
resnet,bandpass__combo_LA_LL__electrode__s10,macro_f1,mixed,2.2,0.8366600265340756
resnet,bandpass__combo_LA_LL__electrode__s15,brier,clean_only,3.4,0.5477225575051661
resnet,bandpass__combo_LA_LL__electrode__s15,brier,electrode,1.6,0.5477225575051661
resnet,bandpass__combo_LA_LL__electrode__s15,brier,independent_rms,1.6,0.8944271909999159
resnet,bandpass__combo_LA_LL__electrode__s15,brier,mixed,3.4,0.8944271909999159
resnet,bandpass__combo_LA_LL__electrode__s15,ece,clean_only,2.6,1.51657508881031
resnet,bandpass__combo_LA_LL__electrode__s15,ece,electrode,1.8,1.0954451150103324
resnet,bandpass__combo_LA_LL__electrode__s15,ece,independent_rms,2.2,0.44721359549995787
resnet,bandpass__combo_LA_LL__electrode__s15,ece,mixed,3.4,0.8944271909999159
resnet,bandpass__combo_LA_LL__electrode__s15,macro_ap,clean_only,3.8,0.4472135954999579
resnet,bandpass__combo_LA_LL__electrode__s15,macro_ap,electrode,2.0,0.7071067811865476
resnet,bandpass__combo_LA_LL__electrode__s15,macro_ap,independent_rms,1.6,0.8944271909999159
resnet,bandpass__combo_LA_LL__electrode__s15,macro_ap,mixed,2.6,1.140175425099138
resnet,bandpass__combo_LA_LL__electrode__s15,macro_auroc,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__electrode__s15,macro_auroc,electrode,1.2,0.4472135954999579
resnet,bandpass__combo_LA_LL__electrode__s15,macro_auroc,independent_rms,2.4,0.5477225575051661
resnet,bandpass__combo_LA_LL__electrode__s15,macro_auroc,mixed,2.4,0.8944271909999159
resnet,bandpass__combo_LA_LL__electrode__s15,macro_f1,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__electrode__s15,macro_f1,electrode,1.8,1.0954451150103324
resnet,bandpass__combo_LA_LL__electrode__s15,macro_f1,independent_rms,2.2,0.4472135954999579
resnet,bandpass__combo_LA_LL__electrode__s15,macro_f1,mixed,2.0,1.0
resnet,bandpass__combo_LA_LL__electrode__s20,brier,clean_only,3.4,0.5477225575051661
resnet,bandpass__combo_LA_LL__electrode__s20,brier,electrode,1.4,0.5477225575051661
resnet,bandpass__combo_LA_LL__electrode__s20,brier,independent_rms,1.8,0.8366600265340756
resnet,bandpass__combo_LA_LL__electrode__s20,brier,mixed,3.4,0.8944271909999159
resnet,bandpass__combo_LA_LL__electrode__s20,ece,clean_only,2.4,1.140175425099138
resnet,bandpass__combo_LA_LL__electrode__s20,ece,electrode,1.8,1.0954451150103324
resnet,bandpass__combo_LA_LL__electrode__s20,ece,independent_rms,2.0,0.7071067811865476
resnet,bandpass__combo_LA_LL__electrode__s20,ece,mixed,3.8,0.4472135954999579
resnet,bandpass__combo_LA_LL__electrode__s20,macro_ap,clean_only,3.6,0.5477225575051661
resnet,bandpass__combo_LA_LL__electrode__s20,macro_ap,electrode,2.0,0.0
resnet,bandpass__combo_LA_LL__electrode__s20,macro_ap,independent_rms,1.4,0.8944271909999159
resnet,bandpass__combo_LA_LL__electrode__s20,macro_ap,mixed,3.0,1.224744871391589
resnet,bandpass__combo_LA_LL__electrode__s20,macro_auroc,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__electrode__s20,macro_auroc,electrode,1.4,0.8944271909999159
resnet,bandpass__combo_LA_LL__electrode__s20,macro_auroc,independent_rms,2.2,0.4472135954999579
resnet,bandpass__combo_LA_LL__electrode__s20,macro_auroc,mixed,2.4,0.8944271909999159
resnet,bandpass__combo_LA_LL__electrode__s20,macro_f1,clean_only,3.4,1.3416407864998738
resnet,bandpass__combo_LA_LL__electrode__s20,macro_f1,electrode,2.0,1.0
resnet,bandpass__combo_LA_LL__electrode__s20,macro_f1,independent_rms,2.2,0.8366600265340756
resnet,bandpass__combo_LA_LL__electrode__s20,macro_f1,mixed,2.4,1.140175425099138
resnet,bandpass__combo_LA_LL__electrode__s5,brier,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__electrode__s5,brier,electrode,1.4,0.8944271909999159
resnet,bandpass__combo_LA_LL__electrode__s5,brier,independent_rms,2.6,0.5477225575051661
resnet,bandpass__combo_LA_LL__electrode__s5,brier,mixed,2.0,0.7071067811865476
resnet,bandpass__combo_LA_LL__electrode__s5,ece,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__electrode__s5,ece,electrode,1.6,0.8944271909999159
resnet,bandpass__combo_LA_LL__electrode__s5,ece,independent_rms,2.6,0.5477225575051661
resnet,bandpass__combo_LA_LL__electrode__s5,ece,mixed,1.8,0.8366600265340756
resnet,bandpass__combo_LA_LL__electrode__s5,macro_ap,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__electrode__s5,macro_ap,electrode,1.4,0.5477225575051661
resnet,bandpass__combo_LA_LL__electrode__s5,macro_ap,independent_rms,2.8,0.4472135954999579
resnet,bandpass__combo_LA_LL__electrode__s5,macro_ap,mixed,1.8,0.8366600265340756
resnet,bandpass__combo_LA_LL__electrode__s5,macro_auroc,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__electrode__s5,macro_auroc,electrode,1.4,0.5477225575051661
resnet,bandpass__combo_LA_LL__electrode__s5,macro_auroc,independent_rms,2.8,0.4472135954999579
resnet,bandpass__combo_LA_LL__electrode__s5,macro_auroc,mixed,1.8,0.8366600265340756
resnet,bandpass__combo_LA_LL__electrode__s5,macro_f1,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__electrode__s5,macro_f1,electrode,1.6,0.8944271909999159
resnet,bandpass__combo_LA_LL__electrode__s5,macro_f1,independent_rms,2.6,0.5477225575051661
resnet,bandpass__combo_LA_LL__electrode__s5,macro_f1,mixed,1.8,0.8366600265340756
resnet,bandpass__combo_LA_LL__independent_rms__s0,brier,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__independent_rms__s0,brier,electrode,2.0,0.7071067811865476
resnet,bandpass__combo_LA_LL__independent_rms__s0,brier,independent_rms,2.4,0.8944271909999159
resnet,bandpass__combo_LA_LL__independent_rms__s0,brier,mixed,1.6,0.8944271909999159
resnet,bandpass__combo_LA_LL__independent_rms__s0,ece,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__independent_rms__s0,ece,electrode,1.8,0.8366600265340756
resnet,bandpass__combo_LA_LL__independent_rms__s0,ece,independent_rms,2.4,0.8944271909999159
resnet,bandpass__combo_LA_LL__independent_rms__s0,ece,mixed,1.8,0.8366600265340756
resnet,bandpass__combo_LA_LL__independent_rms__s0,macro_ap,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__independent_rms__s0,macro_ap,electrode,1.6,0.8944271909999159
resnet,bandpass__combo_LA_LL__independent_rms__s0,macro_ap,independent_rms,2.4,0.5477225575051661
resnet,bandpass__combo_LA_LL__independent_rms__s0,macro_ap,mixed,2.0,1.0
resnet,bandpass__combo_LA_LL__independent_rms__s0,macro_auroc,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__independent_rms__s0,macro_auroc,electrode,1.8,0.8366600265340756
resnet,bandpass__combo_LA_LL__independent_rms__s0,macro_auroc,independent_rms,2.6,0.5477225575051661
resnet,bandpass__combo_LA_LL__independent_rms__s0,macro_auroc,mixed,1.6,0.8944271909999159
resnet,bandpass__combo_LA_LL__independent_rms__s0,macro_f1,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__independent_rms__s0,macro_f1,electrode,2.0,1.0
resnet,bandpass__combo_LA_LL__independent_rms__s0,macro_f1,independent_rms,2.6,0.5477225575051661
resnet,bandpass__combo_LA_LL__independent_rms__s0,macro_f1,mixed,1.4,0.5477225575051661
resnet,bandpass__combo_LA_LL__independent_rms__s10,brier,clean_only,3.8,0.4472135954999579
resnet,bandpass__combo_LA_LL__independent_rms__s10,brier,electrode,1.6,0.5477225575051661
resnet,bandpass__combo_LA_LL__independent_rms__s10,brier,independent_rms,1.4,0.5477225575051661
resnet,bandpass__combo_LA_LL__independent_rms__s10,brier,mixed,3.2,0.4472135954999579
resnet,bandpass__combo_LA_LL__independent_rms__s10,ece,clean_only,2.6,1.51657508881031
resnet,bandpass__combo_LA_LL__independent_rms__s10,ece,electrode,1.8,1.0954451150103324
resnet,bandpass__combo_LA_LL__independent_rms__s10,ece,independent_rms,2.0,0.0
resnet,bandpass__combo_LA_LL__independent_rms__s10,ece,mixed,3.6,0.5477225575051661
resnet,bandpass__combo_LA_LL__independent_rms__s10,macro_ap,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__independent_rms__s10,macro_ap,electrode,2.0,0.7071067811865476
resnet,bandpass__combo_LA_LL__independent_rms__s10,macro_ap,independent_rms,2.0,1.0
resnet,bandpass__combo_LA_LL__independent_rms__s10,macro_ap,mixed,2.0,1.0
resnet,bandpass__combo_LA_LL__independent_rms__s10,macro_auroc,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__independent_rms__s10,macro_auroc,electrode,1.6,0.8944271909999159
resnet,bandpass__combo_LA_LL__independent_rms__s10,macro_auroc,independent_rms,2.2,0.8366600265340756
resnet,bandpass__combo_LA_LL__independent_rms__s10,macro_auroc,mixed,2.2,0.8366600265340756
resnet,bandpass__combo_LA_LL__independent_rms__s10,macro_f1,clean_only,4.0,0.0
resnet,bandpass__combo_LA_LL__independent_rms__s10,macro_f1,electrode,2.0,1.0
resnet,bandpass__combo_LA_LL__independent_rms__s10,macro_f1,independent_rms,2.0,0.7071067811865476
resnet,bandpass__combo_LA_LL__independent_rms__s10,macro_f1,mixed,2.0,1.0
resnet,bandpass__combo_LA_LL__independent_rms__s15,brier,clean_only,3.0,1.224744871391589
resnet,bandpass__combo_LA_LL__independent_rms__s15,brier,electrode,1.8,0.8366600265340756
resnet,bandpass__combo_LA_LL__independent_rms__s15,brier,independent_rms,1.6,0.5477225575051661
resnet,bandpass__combo_LA_LL__independent_rms__s15,brier,mixed,3.6,0.5477225575051661
resnet,bandpass__combo_LA_LL__independent_rms__s15,ece,clean_only,2.8,1.3038404810405297
resnet,bandpass__combo_LA_LL__independent_rms__s15,ece,electrode,1.8,1.0954451150103324
resnet,bandpass__combo_LA_LL__independent_rms__s15,ece,independent_rms,1.8,0.4472135954999579
resnet,bandpass__combo_LA_LL__independent_rms__s15,ece,mixed,3.6,0.5477225575051661
resnet,bandpass__combo_LA_LL__independent_rms__s15,macro_ap,clean_only,3.6,0.5477225575051661
resnet,bandpass__combo_LA_LL__independent_rms__s15,macro_ap,electrode,2.0,0.7071067811865476
